city;date;new_confirmed;new_deaths;cum_sum_daily_cases;cum_sum_daily_deaths;days_since_first_case
1;Diadema;2020-03-27;1;0;1;0;0
2;Diadema;2020-03-28;0;0;1;0;1
3;Diadema;2020-03-29;0;0;1;0;2
4;Diadema;2020-03-30;1;0;2;0;3
5;Diadema;2020-03-31;3;0;5;0;4
6;Diadema;2020-04-01;3;0;8;0;5
7;Diadema;2020-04-02;-8;0;0;0;6
8;Diadema;2020-04-03;20;1;20;1;7
9;Diadema;2020-04-04;3;0;23;1;8
10;Diadema;2020-04-05;1;0;24;1;9
11;Diadema;2020-04-06;1;0;25;1;10
12;Diadema;2020-04-07;10;0;35;1;11
13;Diadema;2020-04-08;11;0;46;1;12
14;Diadema;2020-04-09;9;0;55;1;13
15;Diadema;2020-04-10;4;0;59;1;14
16;Diadema;2020-04-11;1;0;60;1;15
17;Diadema;2020-04-12;3;0;63;1;16
18;Diadema;2020-04-13;3;0;66;1;17
19;Diadema;2020-04-14;5;1;71;2;18
20;Diadema;2020-04-15;23;0;94;2;19
21;Diadema;2020-04-16;6;1;100;3;20
22;Diadema;2020-04-17;15;0;115;3;21
23;Diadema;2020-04-18;3;2;118;5;22
24;Diadema;2020-04-19;2;0;120;5;23
25;Diadema;2020-04-20;6;0;126;5;24
26;Diadema;2020-04-21;9;0;135;5;25
27;Diadema;2020-04-22;3;0;138;5;26
28;Diadema;2020-04-23;13;0;151;5;27
29;Diadema;2020-04-24;0;6;151;11;28
30;Diadema;2020-04-25;19;0;170;11;29
31;Diadema;2020-04-26;8;0;178;11;30
32;Diadema;2020-04-27;10;2;188;13;31
33;Diadema;2020-04-28;51;1;239;14;32
34;Diadema;2020-04-29;33;4;272;18;33
35;Diadema;2020-04-30;18;1;290;19;34
36;Diadema;2020-05-01;26;4;316;23;35
37;Diadema;2020-05-02;4;0;320;23;36
38;Diadema;2020-05-03;11;2;331;25;37
39;Diadema;2020-05-04;7;1;338;26;38
40;Diadema;2020-05-05;22;1;360;27;39
41;Diadema;2020-05-06;45;1;405;28;40
42;Diadema;2020-05-07;11;3;416;31;41
43;Diadema;2020-05-08;7;0;423;31;42
44;Diadema;2020-05-09;18;1;441;32;43
45;Diadema;2020-05-10;8;1;449;33;44
46;Diadema;2020-05-11;0;0;449;33;45
47;Diadema;2020-05-12;7;1;456;34;46
48;Diadema;2020-05-13;67;6;523;40;47
49;Diadema;2020-05-14;44;5;567;45;48
50;Diadema;2020-05-15;37;5;604;50;49
51;Diadema;2020-05-16;30;1;634;51;50
52;Diadema;2020-05-17;3;0;637;51;51
53;Diadema;2020-05-18;7;0;644;51;52
54;Diadema;2020-05-19;20;3;664;54;53
55;Diadema;2020-05-20;69;4;733;58;54
56;Diadema;2020-05-21;53;4;786;62;55
57;Diadema;2020-05-22;20;-1;806;61;56
58;Diadema;2020-05-23;38;0;844;61;57
59;Diadema;2020-05-24;22;2;866;63;58
60;Diadema;2020-05-25;20;0;886;63;59
61;Diadema;2020-05-26;23;1;909;64;60
62;Diadema;2020-05-27;73;5;982;69;61
63;Diadema;2020-05-28;97;0;1079;69;62
64;Diadema;2020-05-29;34;3;1113;72;63
65;Diadema;2020-05-30;43;11;1156;83;64
66;Diadema;2020-05-31;18;1;1174;84;65
67;Diadema;2020-06-01;9;0;1183;84;66
68;Diadema;2020-06-02;88;6;1271;90;67
69;Diadema;2020-06-03;72;-1;1343;89;68
70;Mauá;2020-03-16;1;0;1;0;0
71;Mauá;2020-03-17;0;0;1;0;1
72;Mauá;2020-03-18;0;0;1;0;2
73;Mauá;2020-03-19;0;0;1;0;3
74;Mauá;2020-03-20;0;0;1;0;4
75;Mauá;2020-03-21;0;0;1;0;5
76;Mauá;2020-03-22;0;0;1;0;6
77;Mauá;2020-03-23;0;0;1;0;7
78;Mauá;2020-03-24;0;0;1;0;8
79;Mauá;2020-03-25;1;0;2;0;9
80;Mauá;2020-03-26;0;0;2;0;10
81;Mauá;2020-03-27;0;0;2;0;11
82;Mauá;2020-03-28;0;0;2;0;12
83;Mauá;2020-03-29;0;0;2;0;13
84;Mauá;2020-03-30;0;0;2;0;14
85;Mauá;2020-03-31;1;0;3;0;15
86;Mauá;2020-04-01;0;0;3;0;16
87;Mauá;2020-04-02;4;0;7;0;17
88;Mauá;2020-04-03;3;0;10;0;18
89;Mauá;2020-04-04;5;0;15;0;19
90;Mauá;2020-04-05;1;0;16;0;20
91;Mauá;2020-04-06;2;0;18;0;21
92;Mauá;2020-04-07;10;0;28;0;22
93;Mauá;2020-04-08;4;0;32;0;23
94;Mauá;2020-04-09;6;0;38;0;24
95;Mauá;2020-04-10;4;0;42;0;25
96;Mauá;2020-04-11;1;0;43;0;26
97;Mauá;2020-04-12;2;0;45;0;27
98;Mauá;2020-04-13;5;0;50;0;28
99;Mauá;2020-04-14;2;1;52;1;29
100;Mauá;2020-04-15;14;1;66;2;30
101;Mauá;2020-04-16;5;0;71;2;31
102;Mauá;2020-04-17;6;2;77;4;32
103;Mauá;2020-04-18;5;0;82;4;33
104;Mauá;2020-04-19;5;0;87;4;34
105;Mauá;2020-04-20;6;0;93;4;35
106;Mauá;2020-04-21;3;0;96;4;36
107;Mauá;2020-04-22;13;0;109;4;37
108;Mauá;2020-04-23;6;0;115;4;38
109;Mauá;2020-04-24;4;1;119;5;39
110;Mauá;2020-04-25;19;3;138;8;40
111;Mauá;2020-04-26;3;0;141;8;41
112;Mauá;2020-04-27;17;4;158;12;42
113;Mauá;2020-04-28;21;3;179;15;43
114;Mauá;2020-04-29;22;3;201;18;44
115;Mauá;2020-04-30;22;2;223;20;45
116;Mauá;2020-05-01;18;2;241;22;46
117;Mauá;2020-05-02;7;0;248;22;47
118;Mauá;2020-05-03;0;0;248;22;48
119;Mauá;2020-05-04;6;0;254;22;49
120;Mauá;2020-05-05;10;4;264;26;50
121;Mauá;2020-05-06;16;1;280;27;51
